(base) yikai@PauROG:~/repository$ python train_siglip.py --data-dir Flickr8k --text-encoder transformer --epochs 200 --batch-size 64 --output-dir outputs/resnet_transformer_v4_1
/home/yikai/repository/models/transformer_encoder.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
device=cuda vocab_size=5158 text_encoder=transformer
epoch=027 train_loss=0.0101 val_loss=0.0246 scale=22.48 bias=-10.76 t2i_R@1=13.13 i2t_R@1=14.65 t2i_R@5=33.97 i2t_R@5=35.59 t2i_R@10=45.78 i2t_R@10=46.84
epoch=028 train_loss=0.0098 val_loss=0.0247 scale=22.94 bias=-10.80 t2i_R@1=13.65 i2t_R@1=14.95 t2i_R@5=33.72 i2t_R@5=34.52 t2i_R@10=45.66 i2t_R@10=45.61
epoch=029 train_loss=0.0096 val_loss=0.0246 scale=23.35 bias=-10.85 t2i_R@1=14.36 i2t_R@1=14.62 t2i_R@5=34.93 i2t_R@5=35.98 t2i_R@10=46.21 i2t_R@10=47.37
epoch=030 train_loss=0.0095 val_loss=0.0246 scale=23.73 bias=-10.89 t2i_R@1=15.15 i2t_R@1=15.30 t2i_R@5=36.07 i2t_R@5=36.16 t2i_R@10=46.63 i2t_R@10=48.63
epoch=031 train_loss=0.0090 val_loss=0.0248 scale=24.15 bias=-10.93 t2i_R@1=15.55 i2t_R@1=16.11 t2i_R@5=36.04 i2t_R@5=36.55 t2i_R@10=47.79 i2t_R@10=48.39
epoch=032 train_loss=0.0087 val_loss=0.0247 scale=24.59 bias=-10.97 t2i_R@1=15.50 i2t_R@1=16.44 t2i_R@5=34.73 i2t_R@5=36.43 t2i_R@10=46.63 i2t_R@10=47.97
epoch=033 train_loss=0.0087 val_loss=0.0250 scale=24.99 bias=-11.01 t2i_R@1=14.31 i2t_R@1=15.04 t2i_R@5=36.07 i2t_R@5=36.84 t2i_R@10=47.27 i2t_R@10=48.06
epoch=034 train_loss=0.0084 val_loss=0.0244 scale=25.35 bias=-11.05 t2i_R@1=15.55 i2t_R@1=15.45 t2i_R@5=37.13 i2t_R@5=37.77 t2i_R@10=48.13 i2t_R@10=49.85
epoch=035 train_loss=0.0083 val_loss=0.0255 scale=25.71 bias=-11.09 t2i_R@1=14.81 i2t_R@1=15.87 t2i_R@5=35.70 i2t_R@5=35.62 t2i_R@10=47.34 i2t_R@10=48.00
epoch=036 train_loss=0.0081 val_loss=0.0254 scale=26.03 bias=-11.13 t2i_R@1=15.70 i2t_R@1=16.38 t2i_R@5=36.14 i2t_R@5=37.02 t2i_R@10=46.95 i2t_R@10=47.46
epoch=037 train_loss=0.0079 val_loss=0.0254 scale=26.38 bias=-11.16 t2i_R@1=15.70 i2t_R@1=16.17 t2i_R@5=37.18 i2t_R@5=37.38 t2i_R@10=47.91 i2t_R@10=48.90
